pmid,title,abstract,authors,journal,pub_date
9579425,"Field cancerization: why late ""recurrent"" ovarian cancer is not recurrent.","Late ""recurrence"" of ovarian cancer may result from either regrowth of dormant tumor cells or from development of a new cancer caused by the phenomenon of field cancerization. Clinically, some recurrent ovarian cancers show the same therapeutic sensitivities to chemotherapy and surgery as did the primary disease, whereas others are refractory to all therapy. We hypothesize that recurrent ovarian cancers are distinguishable on the basis of a molecular genetic fingerprint and that some are actually new primary cancers of the peritoneum rather than recurrent ovarian cancer. We constructed molecular genetic fingerprints of 13 paired primary and late recurrent ovarian cancers to study their clonal relationships. The tumor pairs were analyzed for p53 mutations and allelotypes, patterns of X-chromosome inactivation, loss of heterozygosity, and microsatellite instability at 12 different loci on 6 different chromosomes. Techniques used included single-strand conformational polymorphism mutation screening and polymerase chain reaction-based sequence analysis of the p53 locus, restriction digestion of the androgen receptor locus to determine X-chromosome inactivation, and polyacrylamide gel electrophoresis of highly polymorphic dinucleotide, trinucleotide, and tetranucleotide repeats. The average age at initial diagnosis for this cohort was 54.7 years (range 45.3 to 65.5). Mean interval to recurrence was 42.7 months (range 28 to 62). Molecular fingerprints were characterized for 4 to 8 informative loci per tumor pair. The fingerprints of 10 (77%) differed significantly, strongly suggesting that a second primary cancer had developed. The remaining 3 tumor pairs demonstrated identical allelotypes consistent with regrowth of dormant tumor cells. Our results are consistent with the ""field cancerization"" hypothesis of ovarian carcinogenesis but could also be explained by a polyclonal tumor origin, which contrasts with the currently accepted monoclonal theory of ovarian carcinogenesis. Late development of a new primary cancer may herald the proband as a member of a familial cancer phenotype. These studies provide a molecular genetic rationale that both explains and prognosticates the clinical course of recurrent ovarian cancer.",Buller RE; Skilling JS; Sood AK; Plaxe S; Baergen RN; Lager DJ,American journal of obstetrics and gynecology,"{'Year': '1998', 'Month': 'Apr'}"
40962882,Learning the cellular origins across cancers using single-cell chromatin landscapes.,"Deciphering the pre-malignant cell of origin (COO) of different cancers is critical for understanding tumor development and improving diagnostic and therapeutic strategies in oncology. Prior work demonstrates that somatic mutations preferentially accumulate in closed chromatin regions of a cancer's COO. Leveraging this information, we combine 3,669 whole genome sequencing patient samples, 559 single-cell chromatin accessibility cellular profiles, and machine learning to predict the COO of 37 cancer subtypes with high robustness and accuracy, confirming both the known anatomical and cellular origins of numerous cancers, often at cell subset resolution. Importantly, our data-driven approach predicts a basal COO for most small cell lung cancers and a neuroendocrine COO for rare atypical cases. Our study also highlights distinct cellular trajectories during cancer development of different histological subtypes and uncovers an intermediate metaplastic state during tumorigenesis for multiple gastrointestinal cancers, which have important implications for cancer prevention, early detection, and treatment stratification.",Bairakdar MD; Lee W; Giotti B; Kumar A; Stancl P; Wagenblast E; Hambardzumyan D; Polak P; Karlic R; Tsankov AM,Nature communications,"{'Year': '2025', 'Month': 'Sep', 'Day': '17'}"
38935186,Personalized therapy in oncology: melanoma as a paradigm for molecular-targeted treatment approaches.,"In recent decades, the field of systemic cancer treatment has seen remarkable changes due to advancements in the understanding of cancer's biology, immunology, and genetic makeup. As a result, individuals with late-stage cancers are now achieving survival rates that were previously unattainable. The goal of personalized cancer therapy is to enhance clinical outcomes by customizing drug treatments to suit the unique genetic and/or epigenetic profiles of each patient's tumor. This approach aims to reduce the side effects commonly associated with ineffective treatments. Advances in genetic sequencing and molecular cytogenetics have been instrumental in identifying cancer-driving mutations and epigenetic irregularities, leading to the development of specific molecular therapies. This review article highlights the progress and success of targeted molecular therapies in treating malignant melanoma, illustrating the concept of personalized cancer treatment.",Kim KB,Clinical & experimental metastasis,"{'Year': '2024', 'Month': 'Aug'}"
35948080,Circulating Tumor DNA Allele Fraction: A Candidate Biological Signal for Multicancer Early Detection Tests to Assess the Clinical Significance of Cancers.,"Current imaging-based cancer screening approaches provide useful but limited prognostic information. Complementary to existing screening tests, cell-free DNA-based multicancer early detection (MCED) tests account for cancer biology [manifested through circulating tumor allele fraction (cTAF)], which could inform prognosis and help assess the cancer's clinical significance. This review discusses the factors affecting circulating tumor DNA (ctDNA) levels and cTAF, and their correlation with the cancer's clinical significance. Furthermore, it discusses the influence of cTAF on MCED test performance, which could help inform prognosis. Clinically significant cancers show higher ctDNA levels quantified by cTAF than indolent phenotype cancers within each stage. This is because more frequent mitosis and cell death combined with increased trafficking of cell-free DNA into circulation leads to greater vascularization and depth of tumor invasion. cTAF has been correlated with biomarkers for cancer aggressiveness and overall survival; cancers with lower cTAF had better survival when compared with cancers as determined by the higher cTAF and Surveillance, Epidemiology, and End Results-based survival for that cancer type at each stage. MCED-detected cancers in case-control studies had comparable survival to Surveillance, Epidemiology, and End Results-based survival at each stage. Because many MCED tests use ctDNA as an analyte, cTAF could provide a common metric to compare performance. The prognostic value of cTAF may allow MCED tests to preferentially detect clinically significant cancers at early stages when outcomes are favorable and this may avoid overdiagnosis.",Bredno J; Venn O; Chen X; Freese P; Ofman JJ,The American journal of pathology,"{'Year': '2022', 'Month': 'Oct'}"
26216339,Narrow band imaging in the intra-operative definition of resection margins in oral cavity and oropharyngeal cancer.,"In oncological surgery, a three-dimensional resection 1.5-2 cm from the gross tumour edge is currently considered appropriate, and the status of resection margins is the most reliable indicator of radicality. Awareness of ""field cancerization"" calls for a re-evaluation of the benchmarks of tumour resection; however, its identification is not simple because the dysplastic areas may be far from the main lesion and difficult to recognize macroscopically. New technologies such as narrow band imaging (NBI) could improve the detection of neoplastic and pre-neoplastic areas, ensuring more precise resections. The main purpose of this study was to investigate the value of NBI in detecting pre-cancerous areas and/or cancer around the tumour bulk intra-operatively, to achieve adequate resection of the tumour. The resection margins of 8 oral cavity and 8 oropharyngeal cancers were first drawn by macroscopic evaluation and then re-defined using NBI. Resections were performed following the NBI-drawing if extemporaneous histological examinations of the NBI-defined enlargements were positive for dysplasia or cancer. The number of clear margins was evaluated. Resections margins were free of tumour or dysplasia at extemporaneous examination; on definitive histology, two patients had a margin positive for cancer and dysplasia, respectively. Among the NBI-defined enlargements, 25% were positive for dysplasia and 75% for cancer. The sensitivity, specificity, positive and negative predictive values were 100%, 88.9%, 100% and 87.5%, respectively. The method we propose could be useful for obtaining free surgical margins and reducing the potential development of tumour foci resulting from incomplete resection.",Tirelli G; Piovesana M; Gatto A; Tofanelli M; Biasotto M; Boscolo Nata F,Oral oncology,"{'Year': '2015', 'Month': 'Oct'}"
25494606,The hamster cheek pouch model for field cancerization studies.,"External carcinogens, such as tobacco and alcohol, induce molecular changes in large areas of oral mucosa, which increase the risk of malignant transformation. This condition, known as 'field cancerization', can be detected in biopsy specimens using histochemical techniques, even before histological alterations are identified. The efficacy of these histochemical techniques as biomarkers of early cancerization must be demonstrated in appropriate models. The hamster cheek pouch oral cancer model, universally employed in biological studies and in studies for the prevention and treatment of oral cancer, is also an excellent model of field cancerization. The carcinogen is applied in solution to the surface of the mucosa and induces alterations that recapitulate the stages of cancerization in human oral mucosa. We have demonstrated that the following can be used for the early detection of cancerized tissue: silver staining of nucleolar organizer regions; the Feulgen reaction to stain DNA followed by ploidy analysis; immunohistochemical analysis of fibroblast growth factor-2, immunohistochemical labeling of proliferating cells to demonstrate an increase of epithelial cell proliferation in the absence of inflammation; and changes in markers of angiogenesis (i.e. those indicating vascular endothelial growth factor activity, endothelial cell proliferation and vascular density). The hamster cheek pouch model of oral cancer was also proposed and validated by our group for boron neutron capture therapy studies for the treatment of oral cancer. Clinical trials of this novel treatment modality have been performed and are underway for certain tumor types and localizations. Having demonstrated the efficacy of boron neutron capture therapy to control tumors in the hamster cheek pouch oral cancer model, we adapted the model for the long-term study of field cancerized tissue. We demonstrated the inhibitory effect of boron neutron capture therapy on tumor development in field cancerized tissue with acceptable levels of mucositis, a dose-limiting side-effect.",Monti-Hughes A; Aromando RF; Pérez MA; Schwint AE; Itoiz ME,Periodontology 2000,"{'Year': '2015', 'Month': 'Feb'}"
6721600,The natural history of hepatic metastases from colorectal cancer. A comparison with resective treatment.,"Five-year survival after resection of hepatic metastases from colorectal cancer is 25%. Although resection palliates some patients who do not live that long, 50% of patients so treated are not helped at all. Until ignorance of a cancer's real stage is resolved by improved techniques, the evaluation and choice of therapy can be based only upon knowledge of the natural history of untreated metastases and determinants of prognosis derived from treated patients. Analysis of the survival rates of 252 patients who had biopsy proven, unresected hepatic metastases that were the only evidence of residual disease shows the extent to which natural history, rather than resection, may determine length of survival-- and indicates the need for critical analysis of 2- and 3-year survival rates reported after any therapy. Study of 141 patients who had hepatic metastases resected shows that the stage of the primary lesion, being female, and the absence of extrahepatic metastases are significant determinants of favorable prognosis after resection of hepatic metastases.",Wagner JS; Adson MA; Van Heerden JA; Adson MH; Ilstrup DM,Annals of surgery,"{'Year': '1984', 'Month': 'May'}"
19539800,Targeting cancer stem cells for more effective therapies: Taking out cancer's locomotive engine.,"Novel therapies for the treatment of solid tumors have generally failed to improve patient overall survival. These therapeutic approaches are typically focused on targeting signaling pathways implicated in cell growth and/or survival in order to shrink the malignant mass and achieve an objective clinical response; however, too often these responses are followed by eventual regrowth of the tumor. This clinical conundrum could be explained by the existence of a tumorigenic cell population that is relatively resistant to these therapies and retains pluripotent status in order to repopulate the original tumor and/or contribute to distant metastasis following treatment. Compelling data from liquid tumors, and more recently from studies focused on solid tumors, now support the existence of such tumorigenic cells (i.e., cancer stem cells) as a distinct subpopulation within the total tumor cell mass. These cancer stem cells (CSCs), as compared to the non-CSC population, have the ability to reconstitute the primary tumor phenotype when transplanted into recipient animals. In addition, data are beginning to emerge demonstrating that many standard-of-care chemotherapeutics are less effective in promoting cell death or cytostasis in these putative cancer stem cells as compared to effects in the non-stem cell cancerous cells. Therefore, targeting these locomotive drivers of tumors, the cancer stem cell population, should be considered a high priority in the continued pursuit of more effective cancer therapies.",Winquist RJ; Boucher DM; Wood M; Furey BF,Biochemical pharmacology,"{'Year': '2009', 'Month': 'Aug', 'Day': '15'}"
22205689,"Molecular pathways: involvement of Helicobacter pylori-triggered inflammation in the formation of an epigenetic field defect, and its usefulness as cancer risk and exposure markers.","Infection-associated cancers account for a large proportion of human cancers, and gastric cancer, the vast majority of which is associated with Helicobacter pylori infection, is a typical example of such cancers. Epigenetic alterations are known to occur frequently in gastric cancers, and H. pylori infection has now been shown to induce aberrant DNA methylation in gastric mucosae. Accumulation of aberrant methylation in gastric mucosae produces a field for cancerization, and methylation levels correlate with gastric cancer risk. H. pylori infection induces methylation of specific genes, and such specificity is determined by the epigenetic status in normal cells, including the presence of H3K27me3 and RNA polymerase II (active or stalled). Specific types of inflammation, such as that induced by H. pylori infection, are important for methylation induction, and infiltration of monocytes appears to be involved. The presence of an epigenetic field defect is not limited to gastric cancers and is observed in various types of cancers. It provides translational opportunities for cancer risk diagnosis incorporating life history, assessment of past exposure to carcinogenic factors, and cancer prevention.",Ushijima T; Hattori N,Clinical cancer research : an official journal of the American Association for Cancer Research,"{'Year': '2012', 'Month': 'Feb', 'Day': '15'}"
18388269,Cancer biology. All in the stroma: cancer's Cosa Nostra.,,Marx J,"Science (New York, N.Y.)","{'Year': '2008', 'Month': 'Apr', 'Day': '04'}"
6567449,Skin cancer's early warning system.,,Fraser MC; McGuire DB,The American journal of nursing,"{'Year': '1984', 'Month': 'Oct'}"
25522220,Interpretation of the Swedish Self Evaluation of Communication Experiences after Laryngeal cancer: Cutoff levels and minimum clinically important differences.,"The purpose of this study was to establish minimum clinically important difference (MCID) scores for the Swedish Self-Evaluation of Communication Experiences after Laryngeal Cancer (S-SECEL) in order to facilitate clinical interpretation and identify cutoff values for voice rehabilitation. One hundred nineteen patients with laryngeal cancer completed the S-SECEL instrument and an anchor question regarding acceptability of speech in a social context pretreatment and 12-month postoncologic treatment. Receiver operating characteristic (ROC) curves analysis was used for calculation of cutoff values. Voice rehabilitation cutoff values were identified for all domains (Total = 20; General = 4; Environmental = 16, and Attitudinal = 5), presenting acceptable sensitivity and specificity. Initial MCID estimates were obtained for all domains; improvement of -13 points (p < .0001) or a deterioration of +8 points (p = .035) for the Total domain. MCID and cutoff scores for the S-SECEL have been identified and may be used in clinical practice to help identify patients with laryngeal cancer in need of voice rehabilitation.",Tuomi L; Johansson M; Andréll P; Finizia C,Head & neck,"{'Year': '2016', 'Month': 'May'}"
37920034,Automated tumor segmentation in thermographic breast images.,"Identifying and delineating suspicious regions in thermal breast images poses significant challenges for radiologists during the examination and interpretation of thermogram images. This paper aims to tackle concerns related to enhancing the differentiation between cancerous regions and the background to achieve uniformity in the intensity of breast cancer's (BC) existence. Furthermore, it aims to effectively segment tumors that exhibit limited contrast with the background and extract relevant features that can distinguish tumors from the surrounding tissue. A new cancer segmentation scheme comprised of two primary stages is proposed to tackle these challenges. In the first stage, an innovative image enhancement technique based on local image enhancement with a hyperbolization function is employed to significantly improve the quality and contrast of breast imagery. This technique enhances the local details and edges of the images while preserving global brightness and contrast. In the second stage, a dedicated algorithm based on an image-dependent weighting strategy is employed to accurately segment tumor regions within the given images. This algorithm assigns different weights to different pixels based on their similarity to the tumor region and uses a thresholding method to separate the tumor from the background. The proposed enhancement and segmentation methods were evaluated using the Database for Mastology Research (DMR-IR). The experimental results demonstrate remarkable performance, with an average segmentation accuracy, sensitivity, and specificity coefficient values of 97%, 80%, and 99%, respectively. These findings convincingly establish the superiority of the proposed method over state-of-the-art techniques. The obtained results demonstrate the potential of the proposed method to aid in the early detection of breast cancer through improved diagnosis and interpretation of thermogram images.",Trongtirakul T; Agaian S; Oulefki A,Mathematical biosciences and engineering : MBE,"{'Year': '2023', 'Month': 'Aug', 'Day': '23'}"
21624950,Valerie Weaver: overcoming cancer's stiff resistance. Interview by Caitlin Sedwick.,Weaver investigates the mechanical properties of tumors and how changes in the tumor microenvironment influence cancer cell behavior.,Weaver V,The Journal of cell biology,"{'Year': '2011', 'Month': 'May', 'Day': '30'}"
22354325,Oral field cancerization: current evidence and future perspectives.,"Oral field cancerization implies that oral cancer does not arise as an isolated cellular phenomenon but rather as an anaplastic tendency involving many cells at once and results in the multifocal development of cancer at various rates within the entire field in response to a carcinogen especially tobacco. This concept has been frequently used to explain the occurrence of multiple primary cancers and recurrences following complete excision of oral cancer. This review deals in detail with the origin, principle, various theories used to explain this effect and molecular, genetic, as well as cytogenetic findings related to oral field cancerization. Further, the clinical implications and future research directives are also discussed.",Angadi PV; Savitha JK; Rao SS; Sivaranjini Y,Oral and maxillofacial surgery,"{'Year': '2012', 'Month': 'Jun'}"
33766831,Expanding the Reach of Bispecifics.,"Three recently published studies provide preclinical proof-of-concept that bispecific antibodies can be deployed against mutations in two of cancer's most notorious genes, TP53 and RAS. The strategy could also prove effective against T-cell malignancies, which lack good treatment options compared with B-cell blood cancers.",,Cancer discovery,"{'Year': '2021', 'Month': 'May'}"
33168587,"NCI-MATCH Sets ""Benchmark of Actionability"".","The NCI Molecular Analysis for Therapy Choice trial has demonstrated the feasibility of sequencing tumor DNA and matching patients to targeted therapies according to their cancer's mutation profile. However, response rates of those assigned to a therapy were generally low.",,Cancer discovery,"{'Year': '2021', 'Month': 'Jan'}"
30762975,"Seeing the signs of cancer's metabolic changes: More and more, researchers are visualizing metabolic markers to provide details regarding how cancer cells react to changing conditions and treatments.",,Nelson B,Cancer cytopathology,"{'Year': '2019', 'Month': 'Feb'}"
17225472,Cancer's orphan generation. Medical experts increase the survival rates of teens and young adults.,,Hobson K,U.S. news & world report,"{'Year': '2007', 'Month': 'Jan', 'Day': '15'}"
25895609,Cell signalling: Cancer's vast secretes revealed--secretome changes promote resistance to therapy.,,Killock D,Nature reviews. Clinical oncology,"{'Year': '2015', 'Month': 'Jun'}"
17631638,Association of axon guidance factor semaphorin 3A with poor outcome in pancreatic cancer.,"Neural alterations and aberrantly expressed nerve-specific factors promoting tumor progression are known to contribute to pancreatic cancer's extremely poor prognosis. Despite hints that axon guidance factor semaphorin 3A (SEMA3A) may function as a tumor inhibitor, its clinical importance and therapeutic potential have not yet been explored. The present study investigated the role of SEMA3A and its receptors-plexins A1-A4 (PLXNA1-A4) and neuropilin-1 (NRP1)-in pancreatic cancer. QRT-PCR and immunohistochemical analyses revealed overexpression of SEMA3A, NRP1 and PLXNA1 in metaplastic ducts, malignant cells and nerves of cancerous specimens, and showed that elevated levels of corresponding mRNA (6.8-fold, 2.0-fold and 1.5-fold, respectively) clearly correlated with negative clinicopathological manifestations such as shorter survival (SEMA3A and PLXNA1) and a lesser degree of tumor differentiation (NRP1) in Stages I-III patients. High SEMA3A expression in pancreata of Stage IV M1 patients and in peritoneal metastases, and consequent functional studies indicated that poor clinical outcome might be related to the ability of SEMA3A to promote dissemination and invasiveness of pancreatic cancer cells through activation of multiple pathways involving Rac1, GSK3b or p42/p44 MAPK, but not E- to N-cadherin switch, MMP-9 or VEGF induction. Thus, this study is the first to quantify expression of the SEMA3A system in human malignancy and to show that overexpression of SEMA3A by nerves and transformed cells leads to a SEMA3A-rich environment which may favor malignant activities of tumor cells. Furthermore, negative clinicopathological correlations suggest that SEMA3A might represent a novel intervention target but not a treatment option for pancreatic cancer patients.",Müller MW; Giese NA; Swiercz JM; Ceyhan GO; Esposito I; Hinz U; Büchler P; Giese T; Büchler MW; Offermanns S; Friess H,International journal of cancer,"{'Year': '2007', 'Month': 'Dec', 'Day': '01'}"
17600889,"Cancer's conceptions of Marie François Xavier Bichat (1771-1802), founder of histology.","The French doctor Bichat had a brief but outstanding career. Although the training of Bichat was exclusively that of a surgeon, his scientific interests embraced all of medicine, especially descriptive anatomy, histology, pathological anatomy and histopathology. His important contribution was to point out that organs were not homogeneous structures but were composed of different tissues.",Androutsos G; Diamantis A; Vladimiros L,Journal of B.U.ON. : official journal of the Balkan Union of Oncology,"{'Year': '2007', 'Season': 'Apr-Jun'}"
23725446,"Expression of Lewis y antigen and integrin αv, β3 in ovarian cancer and their relationship with chemotherapeutic drug resistance.","This study investigates the expression of Lewis y antigen, integrin αv, β3 in epithelial ovarian cancer tissues. We further evaluate the relationship between their expression and chemotherapy resistance of ovarian cancer and its possible clinical significance. Tissues of 92 patients with ovarian cancer meeting the inclusion criteria with complete follow-up data were enrolled and divided into chemotherapy resistant group and sensitive group. The expression and relationship of Lewis y antigen and integrin αv, β3 are assessed in paraffin sections using immunohistochemistry and double-labeling immunofluorescence method. Multivariate logistic regression analysis was used to investigate the relationship between age, clinical stage, differentiation, histologic subtype, Lewis y antigen and integrin αv, β3 expression in ovarian cancer patients. The expression rates of Lewis y antigen and integrin αv in the resistant group, significantly higher than the rates found in the sensitive group (p <0.05). Multivariate analysis showed that the expression of Lewis y antigen, integrin αv and ovarian cancer's clinical stage were independent, drug resistance-related risk factors. The expression levels of Lewis y antigen and integrin αv, β3 were positively correlated with each other. A close correlation between Lewis y antigen, integrin αv, β3 and ovarian cancer was observed. Lewis y antigen can influence the biological behavior of a tumor cell as an important composition of integrin αv, β3 by some signal pathway. And the expression of Lewis y antigen, integrin αv and ovarian cancer's clinical stage are both independent, drug resistance-related risk factors.",Gao J; Hu Z; Liu D; Liu J; Liu C; Hou R; Gao S; Zhang D; Zhang S; Lin B,Journal of experimental & clinical cancer research : CR,"{'Year': '2013', 'Month': 'Jun', 'Day': '01'}"
34379110,Tissue architecture delineates field cancerization in BRAFV600E-induced tumor development.,"Cancer cells hijack developmental growth mechanisms but whether tissue morphogenesis and architecture modify tumorigenesis is unknown. Here, we characterized a new mouse model of sporadic thyroid carcinogenesis based on inducible expression of BRAF carrying a Val600 Glu (V600E) point mutation (BRAFV600E) from the thyroglobulin promoter (TgCreERT2). Spontaneous activation of this Braf-mutant allele due to leaky activity of the Cre recombinase revealed that intrinsic properties of thyroid follicles determined BRAF-mutant cell fate. Papillary thyroid carcinomas developed multicentrically within a normal microenvironment. Each tumor originated from a single follicle that provided a confined space for growth of a distinct tumor phenotype. Lineage tracing revealed oligoclonal tumor development in infancy and early selection of BRAFV600E kinase inhibitor-resistant clones. Somatic mutations were few, non-recurrent and limited to advanced tumors. Female mice developed larger tumors than males, reproducing the gender difference of human thyroid cancer. These data indicate that BRAFV600E-induced tumorigenesis is spatiotemporally regulated depending on the maturity and heterogeneity of follicles. Moreover, thyroid tissue organization seems to determine whether a BRAF-mutant lineage becomes a cancerized lineage. The TgCreERT2;BrafCA/+ sporadic thyroid cancer mouse model provides a new tool to evaluate drug therapy at different stages of tumor evolution.",Schoultz E; Johansson E; Moccia C; Jakubikova I; Ravi N; Liang S; Carlsson T; Montelius M; Patyra K; Kero J; Paulsson K; Fagman H; Bergo MO; Nilsson M,Disease models & mechanisms,"{'Year': '2022', 'Month': 'Feb', 'Day': '01'}"
29773338,Taking stock: A systematic review of archaeological evidence of cancers in human and early hominin remains.,"This study summarizes data from 154 paleopathological studies documenting 272 archaeologically recovered individuals exhibiting skeletal or soft tissue evidence of cancer (malignant neoplastic disease) between 1.8 million years ago and 1900 CE. The paper reviews and summarizes the temporal, spatial and demographic distribution of the evidence and the methods used to provide the cancer diagnoses. Metastasis to bone is the most widely reported evidence (n = 161), followed by multiple myeloma (n = 55). In the dataset, males were represented more than females (M = 127, F = 94), and middle-adults (35-49) and old-adults (50+) were represented most among age groups (MA = 77, OA = 66). The majority of the evidence comes from Northern Europe (n = 51) and Northern Africa (n = 46). The data are summarized in the Cancer Research in Ancient Bodies (CRAB) Database, a growing online resource for future paleo-oncological research. This systematic review contributes to broader studies of malignant neoplastic disease in antiquity; it provides an overview of paleo-oncological data, discusses the many practical and methodological challenges of paleo-oncological research, and dispels presumptions about cancer's rarity in the past.",Hunt KJ; Roberts C; Kirkpatrick C,International journal of paleopathology,"{'Year': '2018', 'Month': 'Jun'}"
29904586,Recent advances in field cancerization and management of multiple cutaneous squamous cell carcinomas.,"Cutaneous squamous cell carcinoma (SCC) is among the most common cancers in humans, and many patients with SCC will develop multiple tumors within their lifetime. The field cancerization concept, originally proposed over 60 years ago, hypothesized that multiple primary cancers may arise simultaneously and coexist with subclinical precursor lesions within a defined field. Genetic sequencing of SCC and precursor lesions has identified what may be the earliest clonal proliferations in SCC development and confirmed that field cancerization in the skin is mediated by ultraviolet radiation. For patients with multiple SCCs and severe actinic damage, treatment of precursor lesions within a cancerized field can decrease the risk of subsequent cancer development. Sunblock is an effective intervention for field cancerization, even in patients with established disease. There is now direct evidence that field therapy with topical 5-fluorouracil is effective in reducing the incidence of subsequent SCC, and there is indirect evidence suggesting that topical imiquimod, topical ingenol mebutate, and photodynamic therapy are similarly effective. There is limited direct evidence to show that systemic acitretin or nicotinamide can decrease incident SCC in patients with field cancerization. In this review, an approach to the management of patients with multiple SCCs and field cancerization is presented along with the rationale to support field-directed therapy.",Christensen SR,F1000Research,{'Year': '2018'}
24173184,"Cutaneous field cancerization: clinical, histopathological and therapeutic aspects.","The concept of ""field cancerization"" was first introduced by Slaughter in 1953 when studying the presence of histologically abnormal tissue surrounding oral squamous cell carcinoma. It was proposed to explain the development of multiple primary tumors and locally recurrent cancer. Organ systems in which field cancerization has been described since then are: head and neck (oral cavity, oropharynx, and larynx), lung, vulva, esophagus, cervix, breast, skin, colon, and bladder. Recent molecular studies support the carcinogenesis model in which the development of a field with genetically altered cells plays a central role. An important clinical implication is that fields often remain after the surgery for the primary tumor and may lead to new cancers, designated presently as ""a second primary tumor"" or ""local recurrence,"" depending on the exact site and time interval. In conclusion, the development of an expanding pre-neoplastic field appears to be a critical step in epithelial carcinogenesis with important clinical consequences. Diagnosis and treatment of epithelial cancers should not only be focused on the tumor but also on the field from which it developed. The most important etiopathogenetic, clinical, histopathological and therapeutic aspects of field cancerization are reviewed in this article.",Torezan LA; Festa-Neto C,Anais brasileiros de dermatologia,"{'Year': '2013', 'Season': 'Sep-Oct'}"
2841723,"Carboplatin (JM8), etoposide (VP16) and thoracic irradiation for small cell lung cancer (S.C.L.C.): an evaluation of lung toxicity.","Carboplatin (JM8) and etoposide (VP16) have demonstrated activity against a range of solid tumours. A retrospective study has looked for evidence of enhanced radiation pneumonitis when these drugs are employed in conjunction with irradiation. Twenty-nine patients with limited disease small cell lung cancer (S.C.L.C.) received JM8 (300 mg/m2) and VP16 (300 mg/m2) at intervals of 3-4 weeks for 4 cycles followed by thoracic irradiation. Twenty-one were evaluated and compared with 21 matched non-S.C.L.C. patients treated by radiotherapy alone. Patients were stratified into three groups according to the radiation dose schedule normalised using Wara's modification of Ellis' formula (n = 0.38, t = 0.06) [28]. Group 1 received less than 1014 rets, Group 2 1015-1250 rets and Group 3 greater than 1250 rets. Radiological pneumonitis was observed in 57% (12/21) of patients receiving combined modality treatment compared to 71% (15/21) of patients receiving radiation alone with evidence of a radiation dose-response relationship for the appearance of pneumonitis in both groups of patients (p greater than 0.1). In conclusion, no enhancement of radiation pneumonitis by carboplatin (JM8) or etoposide (VP16) has been observed.",Glaholm J; Repetto L; Yarnold JR; Smith IE; Ashley SE; Magrini S; Cherryman G,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,"{'Year': '1988', 'Month': 'May'}"
2384981,[Clinicopathological study of early cancer-like advanced gastric cancer].,"We had clinicopathologically studied early cancer-like advanced gastric cancer in relation to peptic ulcer (UI). Early cancer-like advanced cancers with the difficulty to distinguish from early gastric cancer were selected for materials. Result were as followed: 1) Early cancer-like advanced cancers were consisted of 133 lesions, of which 128 lesions (96.2%) had peptic ulcer in cancerous lesion (73 lesions were active stage and 55 lesions were scarring stage). 2) Early cancer-like advanced cancers were 17.0% in all advanced gastric cancers. Proper muscle cancer (in which depth of cancerous invasion is up to proper muscle coat) was more common in early cancer-like advanced cancers than in Borrmann type advanced cancers. 3) Early cancer-like advanced cancers with peptic ulcer showed wide intramucosal cancerous infiltration. Thus, average of maximum diameter was 51.8 mm. 4) Those ulcer were commonly reaching to proper muscle coat or subserosa. Submucosal fibrosis was prominent and scattered proliferation of tumor cells were often seen within fibrosis. 5) Extent of cancerous infiltration in mucosa was more wide than that in submucosa. The above findings have led us to consider that early cancer-like advanced cancers have grown because of high degree submucosal fibrosis by the deep ulcerations due to ""malignant cycle"".",Tei H; Shimoda T; Ikegami M; Ohshiba S,Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology,"{'Year': '1990', 'Month': 'May'}"
28263382,"First Person: Arul Chinnaiyan, MD, PhD: Pathologist leads multipronged exploration of cancer's molecular drivers.",,Printz C,Cancer,"{'Year': '2017', 'Month': 'May', 'Day': '15'}"
